ŠIFRA,VRSTA,ČLANEK,VSEBINA,LINK
74/16,Seznam,"Vezilo (22.10.1974, letnik 10, številka 10)",">>Beti uporaba računalnika
'Za izračune, ki so za nas sila važni, bi potrebovali veliko ljudi, pa še ne bi mogli v doglednem času tega izračunati. Zato se poslužujemo računalniške obdelave linearnega programiranja in smo že napravili optimizacijo proizvodnje za prejšnjo in sedanjo kolekcijo. Rezultati gotovo ne bodo izostali'",https://www.dlib.si/stream/URN:NBN:SI:DOC-32G0D1SV/b636b6a9-fc2b-48c1-86a2-4a56502ad56f/PDF
74/17,Seznam,"Aluminij (september 1974, letnik 12, številka 9)",>>Računalnik spreminja ustaljene organizacijske rešitve,https://www.dlib.si/stream/URN:NBN:SI:DOC-6MKNSWKY/ef324244-a5c4-4769-9a4c-0caa91722b3e/PDF
74/18,Seznam,"Novoles (11.11.1974, letnik 12, številka 9)",">>Sklenili, da podjetje najame elektronski računalnik
'Zdaj ko imamo ustvarjeno prečiščeno osnovno banko podatkov imamo zagotovljene izredne možnosti za vodenje in spremljanje proizvodnje ter analiziranje proizvodnih odločitev''Sredi prihodnjega leta lahko pričakujemo namestitev lasntega/najetega računalnika'",https://www.dlib.si/stream/URN:NBN:SI:DOC-KSMMJ9Y1/2fe6751d-9a58-4eba-8e0a-3165831311b9/PDF
74/20,Seznam,"Štorski železar (januar 1974, letnik 14, številka 1)","V srednjeročnem programu od leta 1973—1977 tudi program uvedbe elektronske obdelave podatkov in bodoče projektiranje tehnoloških procesov in tehnične naprave, da bo možno uvesti računalniško tehniko'",https://www.dlib.si/stream/URN:NBN:SI:DOC-GCAA10AO/40ebfc69-a713-4a75-ac5e-937d8a73ce1b/PDF
74/22,Seznam,"Naš glas (1974, letnik 16, številka 4)",">>Elektronska obdelava podatkov Delamaris
'V začetku letošnjega leta je tudi v našem kombinatu v okviru ERC začel delati elektronski računalnik ameriške firme IBM 3'
'Začetki uvajanja el.obdelave podatkov pri nas segajo tri leta nazaj, ko smo začeli s šolanjem kadrov za obdelavo podatkov. Kasneje smo se priključili na ERC v institutu Tomos, kjer smo obdelali fakturiranje in prodajno statistiko'",https://www.dlib.si/stream/URN:NBN:SI:DOC-52105F68/5e23f314-b71f-4b09-a419-b51591208b05/PDF
74/36,Seznam,"Delo (30.07.1974, letnik 16, številka 175)",">>Zadržali črpanje sredstev za nakup računalnika v Jutranjki
'Preuči naj možnost skupne uporabe računalnika v Lisci'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-9ZLVGJZE/16/index.html
74/37,Seznam,"Delo (21.08.1974, letnik 16, številka 194)",">>Kovinotehna zgradila mehanizirano skladišče, tudi računalnik
'Mehanizacija in oprema, ki sta popolna novost v Yu, povezana z elektronskimi tehtnicami in računalniškim sistemom bo omogočila 3-5x večjo produktivnost'
'Kovinotehna najela IBM 370, ki ga bo mogoče vključiti v enoten celjski sistem'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-LBMEAIVJ/16/index.html
74/39,Seznam,"Delo (29.08.1974, letnik 16, številka 201",">>Uspehi Celjske Kovinotehne
'Največji računski center v Celju.. Računalnik IBM 370/175, ki bo na voljo tudi ostalim delovnim organizacijam v sestavu ITC v Celju in zunaj njega' MODEL 175 NE OBSTAJA.. VERJETNO 115!!!",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-351U7TVI/12/index.html
74/42,Seznam,"Delo (16.10.1974, letnik 16, številka 242)",>>Dom Ljubljana v začetku 75 dobi svoj računalnik za stalno evidenco,http://www.dlib.si/listalnik/URN_NBN_SI_doc-72IQVGUV/8/index.html
74/43,Seznam,"Sobotna priloga (19.10.1974, letnik 16, številka 245)",">>1971 v PTT kupili elektronski računalnik in ustanovili računalniško središče
'Takoj pričeli obračunavat telefonsko naročnino in izstavljati račune'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-BJLT4PW2/6/index.html
74/46,Seznam,"Delo (20.11.1974, letnik 16, številka 271)",">>Novi prostori mehanografskega centra sedaj na Tobačni
'Združenje 13ih delovnih organizacij prispevalo sredstva za računalniške naprave in drugo opremo''Naj bi bil eden izmed najbolj smotrno organiziranih centrov pri nas.. v obdelavi bo zaposlenih 32 ljudi, ki bo kos vsem potrebam združenja'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-8W6C9CEP/8/index.html
74/47,Seznam,"Delo (21.11.1974, letnik 16, številka 272)",">>V Beti zadovoljni z novim načinom načrtovanja proizvodnje
'Samo za računanje osebnih dohodkov se računalnika ne splača imeti.. zdaj vidijo da je prava vrednost pri njegovi uporabi v planiranju''Prihranili mnogo denarja'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-V4VWYAUR/16/index.html
75/02,Seznam,"Tekstilec (1975, letnik 18, številka 4)",">>Računalništvo in vloga RRC v Sloveniji
'1972 v Jugoslaviji 300 računalnikov, pri tem niso šteti mehanografskis troji in kalkulatorji.' 'V Sloveniji primanjkuje 1500-2000 uspodobljenih ljudi'
'Cyber 70 v RRC uporablja že 12 deležnikov.. konfiguracijo računalnika so 2x nadgradili in je v letu 1975 še vedno polno izkoriščen. Pripravalja se nabava novega''Priklopljenih je 25 terminalov nekateri tudi manjši računalniški sistemi kot PDP 11, HP 2000 in IBM 1130'",http://www.dlib.si/stream/URN:NBN:SI:DOC-TYXQD8DV/b9dd37c8-f5e9-4b9f-9654-bf1b7f236ccc/PDF
75/03,Seznam,"Kamniški občan (1975, številka 4)",">>Računski center v Kamniku
'Titan začel obdelavo podatko med prvimi v Sloveniji skupaj s podjetjem Rog v Ljubljani od 1959, nato pa so se odločili da kupijo lasten mg sistem. 62/63 so iskali partnerje v Kamniku, nekateri kasneje odstopili, resen partner podjetje Stol, ki je že imelo naročen IBM 3000-TO NI MODEL RAČUNALNIKA AMPAK SISTEM MANJŠIH LUKNJANIH KARTIC.. IBM prenehal izdelovat model 3000.. Pritegnili so še podjetje Induplati iz Jarš. Tako je 1963 nastal center. 1968 začeli iskati nov računalnik v centru. Induplati je izstopilo iz centra in nabavilo IBM 3. Titan in Stol kupila lastna IBM 3/10 leta 1972.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-VCAJ853G/d26e0d47-514a-4406-8fdd-6eb3c4256f87/PDF
75/04,Seznam,"Viharnik (1975, letnik 8, številka 1)",">>Avtomatska obdelava podatkov v Lesni Slovenj Gradec
'Lansko leto so se nabavila mehanografske naprave na katerih se obdelujejo posamezni progarami za gozdarsko prozivodnjo",http://www.dlib.si/stream/URN:NBN:SI:DOC-N6ISTTC7/3438baf7-7eaa-4a9b-b4df-bb2a1a9b1949/PDF
75/08,Seznam,"Dolenjski list (13.03.1975, letnik 26, številka 11))
in Naša komuna (03.03.1975, letnik 11, številka 3)
in Glas (01.04.1975, letnik 28, številka 25)",>>Sirjenje republiškega računalniškega centra,"https://www.dlib.si/stream/URN:NBN:SI:DOC-AL9YDQLL/5979d118-f4a9-4eef-90ee-980a05174381/PDF 
https://www.dlib.si/stream/URN:NBN:SI:DOC-FIVPVACS/aceb557e-2091-4809-a18e-bb19989639af/PDF https://www.dlib.si/stream/URN:NBN:SI:DOC-LZYTUCIM/72a07b20-86f3-48e6-b178-ebf354c7a95c/PDF"
75/09,Seznam,"Glas (07.01.1975, letnik 28, številka 1)","V procesu uvajanja je bil tudi nov računalnik, ki bo v prihodnje brez dvoma vplival na boljše in pravilnejše odločitve'",https://www.dlib.si/stream/URN:NBN:SI:DOC-ZAATKBEM/bc0c1db7-081f-484e-b387-9500cc80b0cf/PDF
75/11,Seznam,"Steklar (16.05.1975, letnik 11, številka 5)",>>Računalništvo v Sloveniji in vloga RRC,https://www.dlib.si/stream/URN:NBN:SI:DOC-3EGP63RF/b96751e4-9bc4-408f-b2b7-3338d513df8b/PDF
75/13,Seznam,"Tržiški tekstilec (1975, letnik 16, številka 3)",>>Področja uporabe računalnika v Predilnici in tkalnici Tržič,https://www.dlib.si/stream/URN:NBN:SI:DOC-WF3BEDJF/1eb20329-bcde-41dc-9470-33f44a846d20/PDF
75/15,Seznam,"Naš glas (1975, letnik 17, številka 8)",>>Elektronski računski center Delamaris Izola,https://www.dlib.si/stream/URN:NBN:SI:DOC-MN4HXCB3/d66b2573-4b64-4aef-809f-f89e13135019/PDF
75/16,Seznam,"Delo (15.01.1975, letnik 17, številka 11)",">>Železarna Ravne in novi elektronski računalnik
'Računalniški center s svojimi mladimi programerji je postal srce železarne, vse je tukaj uskladiščeno v banki podatkov. Dve leti so pripravljali celotno organizacijo, zdaj je sistem utečen'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-LVGK49VZ/4/index.html
75/17,Seznam,"Delo (16.01.1975, letnik 17, številka 12)",">>Elektronska obdelava podatkov v Koprski luki
'Pri nas je več delovnih organizacij začelo z elektronskimi računalniki po predpisu iz 1973 obračunavati prejemke z vso razčlembo. V Luki ga uporabljamo tudi za spremljanje vseh osnovnih sredstev.. Uporabljajo Tomosov računalnik.. Že 1967 so se Luka, Delamaris, Interevropa in KBH dogovorili o skupnem izkoriščanju računalnika, ki ga je vzel v najem Tomos'
'Zapletenost pomorskega gospodarstva terja številne podatke za poslovne odločitve, zato se pripravljajo da bodo do konca leta dobili svoj računalnik IBM 370/115'
'Obdelava podatkov si vse bolj utira pot, pogosto pa je slišati, da naprave niso dovolj izrabljene'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-LY9GAOX2/30/index.html
75/20,Seznam,"Delo (14.02.1975, letnik 17, številka 37)",">>SDK in avtomatska obdelava podatkov
'Obdelavo za vso Gorenjsko so začeli upeljevat že leta 1973, lani pa na celem območju'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-DJ2H2UW3/20/index.html
75/22,Seznam,"Delo (12.03.1975, letnik 17, številka 59)",">>Povečujejo zmogljivost Cyber 72
'Že drugič v dveh mesecih povečali zmogljivost računalnika z 50% več spomina in štirimi novimi diski''Uvedli delo v treh izmenah''12 partnerjev preko 24 terminalov'
>>Izdelava socialne izkaznice
'V sržavi je približno 400 računalnikov, ki so po nekaterih ocenah 10% izkoriščeni, o šolanju strokovnjakov in statistikov pa ne razmišljamo dovolj''Izdelava socialne izkaznice je še ena spodbuda, da temu vprašanju posvetikmo več pozornosti'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-UQA269EK/2/index.html
75/23,Seznam,"Delo (19.03.1975, letnik 17, številka 65)",">>GLIN 1974 kupila terminal CDC za delo na oddaljenem računalniku RRC
'V perspektivi naj bi ta terminal postal center računalniških zmogljivosti za Gornjo Savinjsko dolino, preko katerega bi se na računalnik v Lj priključila še ostala podjetja'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-6V3XE7LW/24/index.html
75/25,Seznam,"Delo (19.04.1975, letnik 17, številka 92)",">>Razprava o ukinitvi možnosti začasnega uvoza
'V Sloveniji okrog 40 najetih elektronskih računalnikov, od tega 35 v gospodarstvu' RAZJASNITEV GLEDE OMENJENE UKINITVE MOŽNOSTI NAJEMA na 75/27",http://www.dlib.si/listalnik/URN_NBN_SI_doc-LTBU9V2X/2/index.html
75/27,Seznam,"Sobotna priloga (14.06.1975, letnik 17, številka 138)",">>O napačni interpretaciji zakonodaje
'Interpretacija, da je potrebno najete računalniki odkupiti ali vrniti je napačna. Sprememba je le v tem, da je potrebno carino za uvoz takoj poravnati v primeru zamenjave za nov računalnik pa se ta carina odšteje od carine za novi računalnik''Menda namerava kar 50 organizacij v Yu v tem letu obnoviti ali skleniti pogodbe o najemu opreme'
'Krepi se prepričanje, da je uveljavljanje računalnikov pri nas stihijski proces, ki ga motivirata moda in prestiž, rezultati pa da so prevelika raznolikot opreme in negospodarno izkoriščanje'
'Po eni strani naj bi računalnik krepil moč manjšine, orodje novega tehnološkega imperializma, po drugi pa naj bi pomagal pri samoupravljanju in naj bi razbremenjeval delovno ljudstvo enoličnih in enostavnih opravil'
'Račuanlnikov naj bi se bali predvsem birokrati in upravljalci, ker bodo stroji odkrivali vse njihove napake'
>>Primer Gorenja in Želzarne Ravne
'Kljub vsem mnenjem je razvoj dejansko šele na začetku, Slovenija ima toliko računalnikov kot švicarska letalska družba''Nekateri tečejo pred drugimi, nekateri stojijo, nekateri zaostajajo'
'Gorenje inštaliralo že tretji računalnik''Na seznamu teh ki uporabljajo tehniko so sama najuspešnejša imena in oni niso krivi, če nekateri ne vedo kaj naj počnejo s kupjeno opremo'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-FH4UCXIS/12/index.html
75/29,Seznam,"Delo (19.06.1975, letnik 17, številka 142)",>>Marles namenil sredstva za nov elektronski računalnik,http://www.dlib.si/listalnik/URN_NBN_SI_doc-ABXX5WOK/20/index.html
75/33,Seznam,"Delo (06.11.1975, letnik 18, številka 259)
in Delo (19.11.1975, letnik 18, številka 270)",">>Namera oblikovanja enotnega računalniškega centra v Posavju
'Sodobna obdelava podatkov sedaj samo v Lisci, umestno bi bilo nekje na območju namestiti močnejši računalnik za potrebe vseh podjetij, morda kar v Lisci''Podjetja nimajo želje po velikem številu računalnikov, zato so še številna področja kjer delajo ročno''Manjši računalnik bo kmalu začel delati v Jutranjki'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-KCCUF4AB/16/index.html
75/37,Seznam,"Delo (27.03.1975, letnik 17, številka 72)",>>Energoinvest razpis za programerja na Burroughs L5112,http://www.dlib.si/listalnik/URN_NBN_SI_doc-F7L4Q7DM/14/index.html
76/01,Seznam,"Emajlirec (1976, letnik 26, številka 12)
in Emajlirec (1976, letnik 26, številka 13-14)
in Emajlirec (1976, letnik 26, številka 17-18)",">>O avtomatski obdelavi podatkov.. začetki 1965, ne 1963","http://www.dlib.si/stream/URN:NBN:SI:DOC-2Q1HQU8H/ea2de50a-140b-475e-96ba-edf5b030f95f/PDF
https://www.dlib.si/stream/URN:NBN:SI:DOC-TZI0UVWW/0c85f38a-a73d-4c44-b2ab-300b361c250e/PDF 
https://www.dlib.si/stream/URN:NBN:SI:DOC-3O0AGK1Z/dfee9c1a-56ea-4f1e-86ce-5b9439b24c8d/PDF "
76/02,Seznam,"Hmeljar (januar 1976, letnik 30, številka 1)",">>KK Žalec-Hmezad začetki obdelave podatkov
'Začeli smo 1966.. Podatke smo obdelovali na IBM klasičnih strojih 1.generacije pri EMO v Celju.'
'Z 1968 se delo v EMO oteži zaradi nesoglasiji, začnejo pogovore s šolo za organizacijo dela v Kranju, Litostrojem o nabavi IBM 360/30.. kasneje se odločijo za lasten IBM 360/20.'
'Da ne bi nepripravljeni dočakali prihoda računalnika, smo se s tovarno Saturnus v Ljubljani dogovorili, da nam odstopijo nočno izmeno njihovega računalnika IBM 360/20.'",http://www.dlib.si/stream/URN:NBN:SI:DOC-V8YCDZYI/6fbdb55e-450d-479f-8574-2a065ae0284c/PDF
76/03,Seznam,"Cinkarnar (1976, letnik 23, številka 6)",">>Najem FACOM 230-15 in namestitev 1976
'V Sloveniji je 11 enakih sistemov''V pripravi je prenos obdelave podatkov iz računskega centra v EMO Celje na naš nov sistem'",https://www.dlib.si/stream/URN:NBN:SI:DOC-ECU4K174/7def3e60-0b15-48de-b0ea-7a42e9cbcd61/PDF
76/04,Seznam,"Labod (20.10.1976, letnik 6, številka 9)",">>Potreben je nov računalnik v Labodu
'2 NCR 446 se kvarita in servisna služba je slaba. Razvoj bi moral iti v smeri koriščenja storitev računalnikov pri eni izmed organizacij npr. Krka ali Novoles, s tem da se pri nas nabavi luknjač in verificirke, obenem pa se nabavi lastena manjši računalnik.. za nas bi bil primeren knjigovodski računalnik Robotron Daro 1840. Tak računalnik je pred kratkim nabavilo podjetje Gorjanci, še letos pa ga dobi tudi Gozdno gospodarstvo'",https://www.dlib.si/stream/URN:NBN:SI:DOC-I5QDGRID/37fd6ba6-1986-498a-a674-d6fd28003dab/PDF
76/05,Seznam,"Viharnik (1976, letnik 9, številka 8)",>>Področja uporabe avtomatske obdelave podatkov v Lesna Slovenj Gradec,https://www.dlib.si/stream/URN:NBN:SI:DOC-3QDR2UVB/62f77c73-605b-4df5-b782-c637f303e5e7/PDF
76/06,Seznam,"Pionir (15.11.1976, letnik 10, številka 10/11)",>>Pionir v letošnjem letu kupuje tudi nov večji računalnik,https://www.dlib.si/stream/URN:NBN:SI:DOC-YVT9EGEI/8ac374d5-cfc5-4855-b13c-0b02384a1eb9/PDF
76/09,Seznam,"Štorski železar (junij 1976, letnik 16, številka 6)
in Štorski železar (oktober 1976, letnik 16, številka 10)",">>Nabava lastnega računalnika v Železarni Štore
'V Železarni Štore se je začela obdelava podatkov na strojih 1967. Na takrat modernih strojih, ki jim sedaj pravimo klasika, se je najprej vršila le obdelava podatkov s področja materialnega poslovanja, kasneje se je področje širilo''Obdelave podatkov se vršijo v računskem centru EMO Celje na računalniku IBM 360/25. Organizatorji in programerji so izdelali že cca.350 programov'
'V marcu 1976 je Železarna Štore naročila izdelavo študije Zavodu SRS za produktivnost dela.. ali je upravičeno nabavit lasten računalnik in kako velik''Odgovor, da, dobavni in uvajalni rok je cca.2 leti'
>>Opis računalniškega sistema in komponent","https://www.dlib.si/stream/URN:NBN:SI:DOC-QXFQ7TCA/1d48f273-14e0-4dd5-aae1-c226c4246368/PDF  
https://www.dlib.si/stream/URN:NBN:SI:DOC-TWQZANH6/ff186be8-a50f-453d-934c-7aa663f6a3cd/PDF 
"
76/10,Seznam,"Elektronska obdelava stanarin in Žiro računi hišnih svetov
in Delo (17.01.1976, letnik 18, številka 13)","V Staninvestu si bomo tudi v letu 1976 še nadalje prizadevali prtdobiti lastni računalnik''Računalnik je naročen, vendar Staninvest ne dobi uvoznega dovoljenja'
>>Obračun stroškov bivanja z elektronskim računalnikom
>>Vsa 4 komunalna podjetja v Lj si prizadevajo uvesti skupno inkasantsko službo skupaj z Staninvestom
'Za to bi potrebovali poseben računalnik, zvezna administracija pa je zavrnila prošnjo za uvoz'","https://www.dlib.si/stream/URN:NBN:SI:DOC-0U5RRQNR/9133e33c-a58c-47f2-9a22-959639c3ddf9/PDF 
https://www.dlib.si/stream/URN:NBN:SI:DOC-H28DUIPF/d2bd898c-c33c-4c1d-8a49-90b7cb5e8db6/PDF
http://www.dlib.si/listalnik/URN_NBN_SI_doc-OM7FMYHD/4/index.html "
76/19,Seznam,"Delo (18.03.1976, letnik 18, številka 65)",">>Novi prostori Gradis že Septembra, nato pa tudi računalnik",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-46LZSS3K/8/index.html
76/22,Seznam,"Delo (02.04.1976, letnik 18, številka 78)",">>Staninvest še vedno čaka na uvoz računalnika
'Skupščina stanovanjske skupnosti Ljubljana odobrinal nakup Univac 90/30 z 9 interaktivnimi terminali, vendar je bil uvoz zadrzan''Še naprej sodelujejo z mehanografskim centrom pri Tobačni tovarni in Astro, ter zasennikom, ki luknja kartice'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-4B0THK3O/12/index.html
76/34,Seznam,"Delo (03.09.1976, letnik 18, številka 206)",">>Jedrska elektrarna v Krškem v izgradnji
'..kmalu bomo dobili računalnik, ki se bo lahko vključeval v republiški center carstva okolja, da bo možno ažurno preverjati in posredovati podatke'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-L5MSFNZJ/8/index.html
76/42,Seznam,"Nova skladišča
in Delo (24.11.1976, letnik 18, številka 275)",">>V novih skladiščih Metalka bo delo potekalo s pomočjo računalnika
>>Aero načrtovana modernizacija računalniškega centra","https://www.dlib.si/stream/URN:NBN:SI:DOC-4P79KMSO/1fa683f0-bb8f-493a-b67d-232059f26020/PDF 
http://www.dlib.si/listalnik/URN_NBN_SI_doc-XQ7KZR5Y/4/index.html "
76/44,Seznam,"Delo (31.12.1976, letnik 18, številka 305)",>>Proizvodnjo v novi valjarni Železarne Jesenice vodi računalnik,http://www.dlib.si/listalnik/URN_NBN_SI_doc-RT0IGOG2/30-31/index.html
76/46,Seznam,"Delo (06.03.1976, letnik 18, številka 55)",>>Ilirija licitacija Burroughs L2000 nabavljen 1971,http://www.dlib.si/listalnik/URN_NBN_SI_doc-ACGHO2KG/14/index.html
77/01,Seznam,"Katedra (1977, letnik 16, številka 8/9)",">>Računski center VEKŠ
'izbrala računalnik UNIVAC 90/30''Konec lanskega leta je prišlo do težav pri uvoznem dovoljenju. Padli so očitki, da univerza v Mariboru ne potrebuje dveh sistemov''prioriteta je da se nabavi računalnik na VEKŠ'",http://www.dlib.si/stream/URN:NBN:SI:DOC-L4FTDSWK/f48cdd2c-06a9-4034-8058-89fbf579bebf/PDF
77/02,Seznam,"Glas (11.01.1977, letnik 30, številka 2)",">>Velika pridobitev za računski center
'V računskem centru LTH v Škofji Loki so spet zagnali nove moderne aparature za pripravo podatkov na sistemu Inforex. Zmogljivost centra se bo tako povečala kar za 80% delo pa ne bo več potekalo na principu luknjanjih kartc, temveč na principu magnetnega traku. Na novem stroju bo mogoče izračunavati podatke o fakturah, materialnem poslovanju, osebne dohodke in še marsikaj. Stroj ima 12 vhodnih  enot, na vsaki se lahko na zaslovnih kontrolirajo podatki'
'Začetki segajo v leto 1964, ko so se LTH , Gorenjska predilnica in
Jelovica odločili za obdelavo podatkov. Že dve leti po tem so se partnerji odločili za nakup naprednega IBM 360 sistema-DOBILI 1969. Takrat sta se priključili še podjetji Sava Kranj in Kmetijsko gospodarstvo iz Škofje Loke''Potrebe so bile vedno večje, zato so se podjetja 1973 ponovno odločila za nakup novega stroja Univac'",http://www.dlib.si/stream/URN:NBN:SI:DOC-MSREXLHV/8990a430-201b-46bf-aaa7-a518d382eff7/PDF
77/03,Seznam,"Tržiški tekstilec (1977, letnik 18, številka 7-8)
in Tržiški tekstilec (1977, letnik 18, številka 11)",">>Zgradba in delovanje računalnika P-359, ki ga uporabljajo v Predilnici in tkalnici Tržič","http://www.dlib.si/stream/URN:NBN:SI:DOC-DH33HJ16/1696243c-ad3a-4c5f-897e-f313a0c4da1b/PDF
https://www.dlib.si/stream/URN:NBN:SI:DOC-VPL6S9OO/ff26bfe3-7885-4bba-a4b6-ebe0d676a573/PDF "
77/04,Seznam,"V Agisu (1977, letnik 1, številka 3)",">>Obdelava podatkov v Agis Ptuj
'V eni izmed delovnih oganizacij Agis imajo Daro 1840''Po združitvi v Agis se je obseg dela podvojil, IBM 1130 v Kidričevem postaja premajhen''TGA in IMPOL, ki sta se združila sta zase nabavila nov večji sistem IBM 370/115, IBM 1130 pa bodo prodali.. za nas bo novi računalnik na voljo v tretji nočni izmeni, prehod pa bo zahteval precej časa''Lasten sistem bi bil izredno velika investicija, je pa možnost nabave terminal s katerim bi se vključili v kakšen večji center.. VTŠ Maribor bo izdelal elaborat o nabavi najprimernejše opreme'",https://www.dlib.si/stream/URN:NBN:SI:DOC-5ZS4SNTA/1c8603db-8af4-4ecc-96f3-d97a87e93174/PDF
77/06,Seznam,"V Agisu (1977, letnik 1, številka 8)","AGIS že 5 let dela na avtomatski obdelavi podatkov s pomočjo VTŠ Maribor in TGA Kidričevo. Začeli razmišljati o nabavi lastnega terminala, ki ima določeno kapaciteto, s katero zadovoljuje en del potreb neposredno, za bolj kompleksne izračune pa se lahko veže na večji sistem'",https://www.dlib.si/stream/URN:NBN:SI:DOC-Y4L1OHWT/119e959a-a5a8-4f4e-9307-86952935a30d/PDF
77/10,Seznam,"Pionir (28.02.1977, letnik 11, številka 2)
in Pionir (12.04.1977, letnik 11, številka 3/4)",">>Nov računalnik v Pionirju.. Opis IBM 370/115 in Philips Data 8000
'Oba mala birojska računalnika znamke Philips Data sta že dolgo preobremenjena. Namestili nov, sodoben računalnik IBM 370/115.. Izdelan je na podlagi najmodernejše tehnologije integriranih vezij'","https://www.dlib.si/stream/URN:NBN:SI:DOC-FSOS6R0L/2b80609c-4cca-4d39-936c-04aabb036e0d/PDF 
https://www.dlib.si/stream/URN:NBN:SI:DOC-XFRJ2M9R/78f2c160-e6e3-4e36-a0df-552860b6dcd4/PDF 
"
77/12,Seznam,"Naša komuna (28.12.1977, letnik 13, številka 12)","Mercator načrtuje naložbo v nabavo terminalov in računalniške opreme ter soustanoviteljski delež pri Republiškem računskem centru.. začeli že letos, prihodnje leto pa bomo to nadaljevali. Princip bo isti kot pri bankah. V vseh večjih središčih, kjer imamo trgovine, bomo imeli svojo računalniško mrežo'",https://www.dlib.si/stream/URN:NBN:SI:DOC-KA4TUQ5I/cadb1c87-2876-4223-a996-183a4e0fc44e/PDF
77/13,Seznam,"Naš Aero (26.04.1977, letnik 16, številka 2)",">>Potreba po novem računalniku, realizacija vprašljiva
'Računalniška obdelava podatkov se je v Aeru začela novembra 1969 leta. Instaliran je bil lasten sistem IBM 360/20. Zaradi velike obremenjenosti računalnika prihaja do daljših zastojev, ki povzročajo izpade obveznih dnevnih obdelav. Realizacija novega računalnika vprašljiva.. postavljena tudi v odvisnost splošno družbenih interesov, družbene politike'",https://www.dlib.si/stream/URN:NBN:SI:DOC-01GIGWOJ/a27cb68e-aa71-4979-9c4e-0c03392203fe/PDF
77/20,Seznam,"Delo (25.02.1977, letnik 19, številka 46)",">>Kreditna banka Maribor odprla center z IBM 370/115
'Do sedaj KBM že 2 leti in pol obdelovala pri računskem centru Dravskih elektrarn. Ugotovili so, da je obdelava na lastnem računalniku je cenejša'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-ASXAQQUU/26/index.html
77/21,Seznam,"Delo (25.03.1977, letnik 19, številka 70)",">>Almira
'Paradoks je, da uvajamo računalnike, niti na las pa nismo bliže rešitvi vprašanja nekakovostnih surovin'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-U34I1GTR/4/index.html
77/24,Seznam,"Delo (25.05.1977, letnik 19, številka 119)",">>Sodelovanje Peko in BPT Tržič
'Peko čaka na nov računalnik, ki bo zadoščal tudi za BPT'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-Q270Z7L1/20/index.html
77/25,Seznam,"Delo (07.06.1977, letnik 19, številka 130)",>>Pripravlja se sodelovanje na področju računalništva v Novem Mestu,http://www.dlib.si/listalnik/URN_NBN_SI_doc-LNC1KLIS/16/index.html
77/28,Seznam,"Delo (14.06.1977, letnik 19, številka 136)",">>Staninvest
'Še vedno nima svojega računalnika, prosi že več let, spet dobili negativen odgovor, kljub priporočilom, obdelavo opravljajli v centru na Tobačni, sedaj v Astri'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-E4PVNWCB/12/index.html
77/29,Seznam,"Delo (18.06.1977, letnik 19, številka 140)",">>Računski center Intertrade Ljubljana
'Že več let opravlja storitve za več kot 20 delovnih organizacij, občasno pa celo 40, je v začetku leta dal pobudo za združevanje  dela in sredstev na področju obldelave podatkov, 15 organizacije se je opredelilo za združevanje'
'Center ima dva računalniška sistema 360/40 in 370/115 in zaposluje 38 računalniških strokovnjakov-15 programerjev, 14 operaterjev in 6 operaterjev na zajemalnih strojih.. Delajo v treh izmenah, polno zasedeni''Starejši 360/40 nameravajo zamenjati s sodobnejšim in se preseliti v nove poslovne prostore'",http://www.dlib.si/listalnik/URN_NBN_SI_DOC-4NDQ19HK/4/index.html
77/30,Seznam,"Delo (21.06.1977, letnik 19, številka 142)",>>Litostroju odobren kredit za uvoz računalniškega centra,http://www.dlib.si/listalnik/URN_NBN_SI_doc-WT9H4EH4/4/index.html
77/37,Seznam,"Delo (27.09.1977, letnik 19, številka 224)",">>Posavski računalniški center v Lisci bo zaživel z novim letom
'V regiji še precej organizacij obdeluje podatke ročno ali z minimalno mehanizacijo''Razširitev centra v Lisci in uvoz IBM računalnika sta odobrena''Mrežo računalniških enot bodo v Posavju širili skladno s potrebami in možnostmi''Zanimanje kažejo zlasti večje organizacije, SOP Krško, Papirnica Radeče, Stilles in Jugotanin Sevnica, Agrarai in Tovarna pohištva Brežice, vse tri občinske skupščine in drugi'",http://www.dlib.si/listalnik/URN_NBN_SI_doc-QGFRNHLX/16/index.html
